,geo_name,geo_lat,geo_lon
1901,,,
1902,,,
1903,,,
1904,,,
1905,,,
1906,,,
1907,,,
1908,Indian River County,27.69639,-80.57409
1909,,,
1910,,,
1911,,,
1912,,,
1913,,,
1914,,,
1915,Mission Viejo,33.60002,-117.672
1916,,,
1917,,,
1918,,,
1919,,,
1920,,,
1921,,,
1922,Palm Desert,33.72255,-116.37697
1923,,,
1924,,,
1925,Half Way Tree,18.01248,-76.79928
1926,Riverside County,33.74368,-115.99386
1927,,,
1928,,,
1929,,,
1930,,,
1931,,,
1932,,,
1933,,,
1934,,,
1935,,,
1936,,,
1937,,,
1938,,,
1939,,,
1940,,,
1941,,,
1942,,,
1943,,,
1944,Sacramento City Fire Department Station 1,38.57351,-121.50112
1945,,,
1946,Sacramento,38.58157,-121.4944
1947,,,
1948,,,
1949,Sacramento,38.58157,-121.4944
1950,,,
1951,Sacramento,38.58157,-121.4944
1952,Sacramento,38.58157,-121.4944
1953,,,
